"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"nivea","100K+","July 23, 2026 at 11:10:00 AM UTC-4",,"nivea","./explore?q=nivea&geo=US"
"cetirizine","2K+","July 24, 2026 at 7:40:00 AM UTC-4",,"cetirizine","./explore?q=cetirizine&geo=US"
"michael j fox","2K+","July 23, 2026 at 8:20:00 PM UTC-4","July 24, 2026 at 12:20:00 AM UTC-4","michael j fox","./explore?q=michael%20j%20fox&geo=US"
"fda peptides","2K+","July 23, 2026 at 6:50:00 PM UTC-4","July 23, 2026 at 9:00:00 PM UTC-4","fda peptides,fda bpc-157 compounding status","./explore?q=fda%20peptides&geo=US"
"immunizations","1K+","July 23, 2026 at 10:40:00 PM UTC-4","July 23, 2026 at 11:40:00 PM UTC-4","immunizations","./explore?q=immunizations&geo=US"
"flu shots","1K+","July 23, 2026 at 10:40:00 PM UTC-4","July 23, 2026 at 11:40:00 PM UTC-4","flu shots","./explore?q=flu%20shots&geo=US"
"vaccines","500+","July 23, 2026 at 10:40:00 PM UTC-4","July 23, 2026 at 11:40:00 PM UTC-4","vaccines","./explore?q=vaccines&geo=US"
"vaccinations","500+","July 23, 2026 at 10:40:00 PM UTC-4","July 23, 2026 at 11:40:00 PM UTC-4","vaccinations","./explore?q=vaccinations&geo=US"
