"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"demi moore","2K+","July 24, 2026 at 12:00:00 AM UTC-4","July 24, 2026 at 3:40:00 AM UTC-4","demi moore","./explore?q=demi%20moore&geo=US"
"fashion style","200+","July 24, 2026 at 3:30:00 AM UTC-4","July 24, 2026 at 4:40:00 AM UTC-4","fashion style","./explore?q=fashion%20style&geo=US"
"fashion news","200+","July 24, 2026 at 4:10:00 AM UTC-4","July 24, 2026 at 4:30:00 AM UTC-4","fashion news","./explore?q=fashion%20news&geo=US"
