"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"extreme heat watch","20K+","July 24, 2026 at 3:50:00 AM UTC-4",,"extreme heat watch","./explore?q=extreme%20heat%20watch&geo=US"
"remnants of bertha","20K+","July 23, 2026 at 10:50:00 PM UTC-4",,"remnants of bertha,tropical depression bertha,bertha tracker houston,bertha houston","./explore?q=remnants%20of%20bertha&geo=US"
"miami texas","20K+","July 23, 2026 at 9:50:00 AM UTC-4",,"miami texas","./explore?q=miami%20texas&geo=US"
"lluvia","2K+","July 23, 2026 at 10:30:00 PM UTC-4","July 24, 2026 at 8:10:00 AM UTC-4","lluvia","./explore?q=lluvia&geo=US"
"clima de hoy","500+","July 24, 2026 at 7:10:00 AM UTC-4","July 24, 2026 at 7:30:00 AM UTC-4","clima de hoy","./explore?q=clima%20de%20hoy&geo=US"
"weather gift","200+","July 24, 2026 at 3:40:00 AM UTC-4","July 24, 2026 at 4:40:00 AM UTC-4","weather gift","./explore?q=weather%20gift&geo=US"
"map weather","200+","July 24, 2026 at 4:10:00 AM UTC-4","July 24, 2026 at 4:50:00 AM UTC-4","map weather","./explore?q=map%20weather&geo=US"
