"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"playstation","5K+","July 24, 2026 at 7:00:00 AM UTC-4","July 24, 2026 at 8:20:00 AM UTC-4","playstation,playstation servers,is playstation network down,playstation network status,playstation network,psn down,playstation servers down,are playstation servers down,is psn down","./explore?q=playstation&geo=US"
"downdetector","10K+","July 24, 2026 at 7:00:00 AM UTC-4","July 24, 2026 at 8:10:00 AM UTC-4","downdetector,microsoft outage,xbox outage","./explore?q=downdetector&geo=US"
"prompt","500+","July 24, 2026 at 7:10:00 AM UTC-4","July 24, 2026 at 8:30:00 AM UTC-4","prompt","./explore?q=prompt&geo=US"
"phone","200+","July 24, 2026 at 3:30:00 AM UTC-4","July 24, 2026 at 4:40:00 AM UTC-4","phone","./explore?q=phone&geo=US"
"smartphone market","200+","July 24, 2026 at 3:40:00 AM UTC-4","July 24, 2026 at 4:40:00 AM UTC-4","smartphone market","./explore?q=smartphone%20market&geo=US"
"camera news","200+","July 24, 2026 at 4:10:00 AM UTC-4","July 24, 2026 at 4:30:00 AM UTC-4","camera news","./explore?q=camera%20news&geo=US"
